BYTE05;3C;51
BYTE05;C4;A8
BYTE05;83;E5
BYTE05;BA;D0
BYTE05;E1;8B
BYTE05;07;6D
BYTE05;B3;C6
BYTE05;AE;CE
BYTE05;E3;89
BYTE05;FA;89
BYTE05;33;57
BYTE06;37;53
BYTE06;01;65
BYTE06;44;20
BYTE06;8B;EF
BYTE06;8A;EE
BYTE06;64;00
BYTE06;19;7D
BYTE06;61;05
BYTE06;A1;C5
BYTE06;D6;B2
BYTE06;C2;A6
BYTE06;EF;8B
BYTE06;EE;8A
BYTE06;F3;97
BYTE06;C1;A5
BYTE06;9E;FA
BYTE06;E2;86
BYTE06;B2;D6
BYTE06;65;01
BYTE06;3A;5E
BYTE06;8C;E8
BYTE06;2C;48
BYTE06;84;E0
BYTE06;89;ED
BYTE06;22;46
BYTE06;31;55
BYTE06;30;54
BYTE06;B0;D4
BYTE06;88;EC
BYTE06;1F;7B
BYTE06;B3;D7
BYTE06;C7;A3
BYTE06;E1;85
BYTE06;99;FD
BYTE06;80;E4
BYTE06;AD;C9
BYTE06;8D;E9
BYTE06;8E;EA
BYTE06;2E;4A
BYTE06;B8;DC
BYTE06;94;F0
BYTE06;83;E7
BYTE06;82;E6
BYTE06;96;F2
BYTE06;CD;A9
BYTE06;DA;BE
BYTE06;BE;DA
BYTE06;92;F6
BYTE06;86;E2
BYTE06;05;61
BYTE06;39;5D
BYTE06;4F;2B
BYTE06;40;24
BYTE06;4E;2A
BYTE06;08;6C
BYTE06;85;E1
BYTE06;E5;81
BYTE06;28;4C
BYTE06;23;47
BYTE06;B4;D0
BYTE06;66;02
BYTE06;F2;96
BYTE06;DD;B9
BYTE06;8F;EB
BYTE06;F7;93
BYTE06;3B;5F
BYTE06;2B;4F
BYTE06;9A;FE
BYTE06;BA;DE
BYTE06;7E;1A
BYTE06;41;25
BYTE06;A3;C7
BYTE06;93;F7
BYTE06;C0;A4
BYTE06;06;62
BYTE06;CA;AE
BYTE06;A4;C0
BYTE06;BB;DF
BYTE06;4C;28
BYTE06;C6;A2
BYTE06;5A;3E
BYTE06;26;42
BYTE06;81;E5
BYTE06;73;17
BYTE06;91;F5
BYTE06;C9;AD
BYTE06;67;03
BYTE06;BF;DB
BYTE06;60;04
BYTE06;FF;9B
BYTE06;B6;D2
BYTE06;4D;29
BYTE06;76;12
BYTE06;87;E3
BYTE06;5E;3A
BYTE06;9D;F9
BYTE06;0C;68
BYTE06;FD;99
BYTE06;04;60
BYTE06;51;35
BYTE06;79;1D
BYTE06;20;44
BYTE06;5C;38
BYTE06;AC;C8
BYTE06;CC;A8
BYTE06;A9;CD
BYTE06;B7;D3
BYTE06;EB;8F
BYTE06;A6;C2
BYTE06;47;23
BYTE06;7D;19
BYTE06;A5;C1
BYTE06;F5;91
BYTE06;E7;83
BYTE06;E6;82
BYTE06;7A;1E
BYTE06;0F;6B
BYTE06;9F;FB
BYTE06;F6;92
BYTE06;0A;6E
BYTE06;53;37
BYTE06;C4;A0
BYTE06;2D;49
BYTE06;B5;D1
BYTE06;98;FC
BYTE06;C5;A1
BYTE06;F4;90
BYTE06;3D;59
BYTE06;E9;8D
BYTE06;36;52
BYTE06;FB;9F
BYTE06;BD;D9
BYTE06;15;71
BYTE06;A7;C3
BYTE06;6A;0E
BYTE06;07;63
BYTE06;DC;B8
BYTE06;97;F3
BYTE06;BC;D8
BYTE06;62;06
BYTE06;49;2D
BYTE06;68;0C
BYTE06;AE;CA
BYTE06;69;0D
BYTE06;AA;CE
BYTE06;D3;B7
BYTE06;0E;6A
BYTE06;D0;B4
BYTE06;54;30
BYTE06;71;15
BYTE06;A0;C4
BYTE06;21;45
BYTE06;48;2C
BYTE06;A8;CC
BYTE06;CF;AB
BYTE06;74;10
BYTE06;17;73
BYTE06;ED;89
BYTE06;9B;FF
BYTE06;AF;CB
BYTE06;45;21
BYTE06;70;14
BYTE06;D2;B6
BYTE06;D5;B1
BYTE06;FC;98
BYTE06;1E;7A
BYTE06;E8;8C
BYTE06;10;74
BYTE06;3F;5B
BYTE06;16;72
BYTE06;E4;80
BYTE06;F1;95
BYTE06;CE;AA
BYTE06;D4;B0
BYTE06;3C;58
BYTE06;F8;9C
BYTE06;3E;5A
BYTE06;FA;9E
BYTE06;CB;AF
BYTE06;2F;4B
BYTE06;0B;6F
BYTE06;90;F4
BYTE06;63;07
BYTE06;1B;7F
BYTE06;32;56
BYTE06;75;11
BYTE06;B9;DD
BYTE06;E3;87
BYTE06;C8;AC
BYTE06;55;31
BYTE06;F9;9D
BYTE06;1D;79
BYTE06;DF;BB
BYTE06;F0;94
BYTE06;D8;BC
BYTE06;5D;39
BYTE06;95;F1
BYTE06;AB;CF
BYTE06;58;3C
BYTE06;EA;8E
BYTE06;72;16
BYTE06;11;75
BYTE06;A2;C6
BYTE06;29;4D
BYTE06;4B;2F
BYTE06;52;36
BYTE06;33;57
BYTE06;56;32
BYTE06;DE;BA
BYTE06;6F;0B
BYTE06;0D;69
BYTE06;EC;88
BYTE06;FE;9A
BYTE06;02;66
BYTE06;13;77
BYTE06;9C;F8
BYTE06;B1;D5
BYTE06;7B;1F
BYTE06;E0;84
BYTE06;46;22
BYTE06;50;34
BYTE06;18;7C
BYTE06;25;41
BYTE06;38;5C
BYTE06;6C;08
BYTE06;1A;7E
BYTE06;DB;BF
BYTE06;D9;BD
BYTE06;2A;4E
BYTE06;00;64
BYTE06;42;26
BYTE06;5B;3F
BYTE06;1C;78
BYTE06;6B;0F
BYTE06;7C;18
BYTE06;43;27
BYTE06;7F;1B
BYTE06;5F;3B
BYTE06;34;50
BYTE06;6D;09
BYTE06;6E;0A
BYTE06;D7;B3
BYTE06;59;3D
BYTE06;27;43
BYTE06;57;33
BYTE06;03;67
BYTE07;22;4B
BYTE07;41;28
BYTE07;26;4F
BYTE07;89;E0
BYTE07;69;00
BYTE07;B6;DF
BYTE07;8E;E7
BYTE07;B4;DD
BYTE07;88;E1
BYTE07;96;FF
BYTE07;8A;E3
BYTE07;8D;E4
BYTE07;81;E8
BYTE07;8C;E5
BYTE07;00;69
BYTE07;8F;E6
BYTE07;6D;04
BYTE07;AB;C2
BYTE07;8B;E2
BYTE07;9E;F7
BYTE07;97;FE
